Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Dong Fang Hong 1,1970-04-24,1970.0,1970s,China,China,CNSA,Long March 1,Long,Jiuquan,,Technology/Test,LEO,173.0,Success,Decommissioned,300.0,Liquid,0.0767,China's first satellite; 5th nation to independently launch; broadcast revolutionary song,,,ENRICHED
Long March 1 (DFH-1),1970-04-24,1970.0,1970s,China,CHN,CNSA,Long March 1,Long March,Jiuquan,Jiuquan,Other,LEO,,Success,,,,,China first satellite - Dong Fang Hong 1,CNSA-1970,CNSA Historical Database,CLEANED_COMPLETE
FSW-1 (China 15),1975-11-26,1975.0,1970s,China,China,CNSA,Long March 2,Long,Jiuquan,,Military/Reconnaissance,LEO,1790.0,Success,Decommissioned,175.0,Liquid,7.0,First recoverable satellite; reentry technology,,,ENRICHED
STW-1 (Dong Fang Hong 2),1984-04-08,1984.0,1980s,China,China,CNSA,Long March 3,Long,Xichang,,Communication,GTO,900.0,Success,Decommissioned,175.0,Liquid,15.0,First Chinese geostationary satellite; first cryogenic upper stage,,,ENRICHED
Asiasat 1,1990-04-07,1990.0,1990s,China,China,CNSA,Long March 3,Long,Xichang,,Communication,GTO,1241.0,Success,Decommissioned,175.0,Liquid,15.0,First commercial satellite launched by China; began commercial services,,,ENRICHED
Apstar 1,1994-07-21,1994.0,1990s,China,China,CNSA,Long March 3A,Long,Xichang,,Communication,GTO,2496.0,Success,Decommissioned,325.0,Liquid,15.0,Commercial geostationary for Asia Pacific Satellite,,,ENRICHED
China-Brazil Earth Resources 1 (CBERS-1),1999-10-14,1999.0,1990s,China,China,CNSA,Long March 4B,Long,Taiyuan,,Earth Observation,SSO,1450.0,Success,Decommissioned,175.0,Liquid,8.0,Joint China-Brazil EO; agriculture and deforestation monitoring,,,ENRICHED
Shenzhou 1,1999-11-19,1999.0,1990s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,7840.0,Success,Decommissioned,950.0,Liquid,0.5,First Shenzhou; uncrewed test; orbital success,,,ENRICHED
Shenzhou 5,2003-10-15,2003.0,2000s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,7790.0,Success,Decommissioned,2500.0,Liquid,,Yang Liwei – first Chinese taikonaut in space; 14 orbits in 21 hours,,,ENRICHED
Tan Ce 1 (TC-1),2003-12-29,2003.0,2000s,China,China,CNSA,Long March 2C,Long,Xichang,,Other,HEO/Elliptical,344.0,Success,Decommissioned,60.0,Liquid,7.0,China-ESA Double Star; studied Earth magnetosphere,,,ENRICHED
Chang'e 1,2007-10-24,2007.0,2000s,China,China,CNSA,Long March 3A,Long,Xichang,,Lunar Exploration,Lunar,2350.0,Success,Decommissioned,1400.0,Liquid,1.333,First Chinese lunar probe; 7m resolution Moon map,,,ENRICHED
Shenzhou 7,2008-09-25,2008.0,2000s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,7840.0,Success,Decommissioned,2700.0,Liquid,,Zhai Zhigang – China's first spacewalk; 3-day mission,,,ENRICHED
Chang'e 2,2010-10-01,2010.0,2010s,China,China,CNSA,Long March 3C,Long,Xichang,,Lunar Exploration,Lunar,2480.0,Success,Decommissioned,325.0,Liquid,3.0,7m Moon map; L2 point visit; asteroid Toutatis flyby,,,ENRICHED
Tiangong 1,2011-09-29,2011.0,2010s,China,China,CNSA,Long March 2FT1,Long,Jiuquan,,Other,LEO,8506.0,Success,Decommissioned,1000.0,Liquid,,"China's first space lab; docked with Shenzhou 8,9,10",,,ENRICHED
Shenzhou 9,2012-06-16,2012.0,2010s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,8130.0,Success,Decommissioned,950.0,Liquid,0.5,Liu Yang – first Chinese female taikonaut; manual + auto docking,,,ENRICHED
Shenzhou 10,2013-06-11,2013.0,2010s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,8130.0,Success,Decommissioned,950.0,Liquid,0.5,15-day mission; Wang Yaping taught physics from space,,,ENRICHED
Chang'e 3,2013-12-01,2013.0,2010s,China,China,CNSA,Long March 3B,Long,Xichang,,Lunar Exploration,Lunar,3780.0,Success,Decommissioned,1500.0,Liquid,,First soft Moon landing since 1976; Yutu rover deployed,,,ENRICHED
DAMPE (Wukong),2015-12-17,2015.0,2010s,China,China,CNSA,Long March 2D,Long,Jiuquan,,Other,SSO,1900.0,Success,Decommissioned,175.0,Liquid,7.0,Dark Matter Particle Explorer; hunts dark matter in cosmic rays,,,ENRICHED
QUESS (Micius),2016-08-16,2016.0,2010s,China,China,CNSA,Long March 2D,Long,Jiuquan,,Other,SSO,631.0,Success,Active,100.0,Liquid,7.0,World's first quantum comms satellite; quantum entanglement distribution,,,ENRICHED
Tiangong 2,2016-09-15,2016.0,2010s,China,China,CNSA,Long March 2FT2,Long,Jiuquan,,Other,LEO,8600.0,Success,Decommissioned,950.0,Liquid,7.0,Second space lab; 30-day crewed mission; Tianzhou-1 refueling,,,ENRICHED
Shenzhou 11,2016-10-17,2016.0,2010s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,8130.0,Success,Decommissioned,950.0,Liquid,0.5,33-day mission on Tiangong-2; longest Chinese spaceflight then,,,ENRICHED
Tianzhou 1,2017-04-20,2017.0,2010s,China,China,CNSA,Long March 7,Long,Wenchang,,Other,LEO,13000.0,Success,Decommissioned,950.0,Liquid,7.0,First Chinese cargo spacecraft; propellant refueling test,,,ENRICHED
Queqiao Relay,2018-05-20,2018.0,2010s,China,China,CNSA,Long March 4C,Long,Xichang,,Lunar Exploration,Lunar,448.0,Success,Decommissioned,60.0,Liquid,7.0,First relay for far-side lunar communications; unique L2 halo orbit,,,ENRICHED
Chang'e 4 + Yutu-2,2018-12-07,2018.0,2010s,China,China,CNSA,Long March 3B,Long,Xichang,,Lunar Exploration,Lunar,3780.0,Success,Active,2000.0,Liquid,,First ever soft landing on Moon's far side; Yutu-2 still active 2025,,,ENRICHED
Chang'e 4,2018-12-07,2018.0,2010s,China,CHN,CNSA,Long March 3B,Long March,Xichang,Xichang,Lunar Exploration,Lunar,,Success,,,,,First landing on far side of the Moon,CNSA-2018,CNSA Historical Database,CLEANED_COMPLETE
BeiDou-3 GEO,2019-02-01,2019.0,2010s,China,China,CNSA,Long March 3B,Long,Xichang,,Navigation,GEO,4600.0,Success,Decommissioned,950.0,Liquid,12.0,Geostationary BeiDou-3 for Asia coverage,,,ENRICHED
Tianwen-1,2020-07-23,2020.0,2020s,China,China,CNSA,Long March 5,Long,Wenchang,,Planetary Science,Mars/Interplanetary,5000.0,Success,Active,3700.0,Liquid,,First Chinese Mars mission; orbiter + Zhurong rover; confirmed 1.2 billion years-old plains,,,ENRICHED
Chang'e 5,2020-11-23,2020.0,2020s,China,China,CNSA,Long March 5,Long,Wenchang,,Lunar Exploration,Lunar,8200.0,Success,Decommissioned,3000.0,Liquid,0.063,Returned 1.73 kg lunar samples; first return since Luna-24 1976,,,ENRICHED
Tianhe Core Module,2021-04-29,2021.0,2020s,China,China,CNSA,Long March 5B,Long,Wenchang,,Other,LEO,22500.0,Success,Active,4000.0,Liquid,10.0,Core module of China Space Station (Tiangong); now permanently crewed,,,ENRICHED
Shenzhou 12,2021-06-17,2021.0,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130.0,Success,Decommissioned,800.0,Liquid,0.2466,First CSS crew; Nie Haisheng commanded; 3-month mission,,,ENRICHED
Shenzhou 13,2021-10-15,2021.0,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130.0,Success,Decommissioned,900.0,Liquid,0.5014,Wang Yaping first Chinese woman spacewalk; 183-day record,,,ENRICHED
Wentian Lab Module,2022-07-24,2022.0,2020s,China,China,CNSA,Long March 5B,Long,Wenchang,,Other,Other,23000.0,Success,Active,950.0,Liquid,7.0,Second CSS module; life science lab; 4 airlocks,,,ENRICHED
Mengtian Lab Module,2022-10-31,2022.0,2020s,China,China,CNSA,Long March 5B,Long,Wenchang,,Other,Other,23000.0,Success,Active,950.0,Liquid,7.0,Third CSS module; completed T-shape Tiangong station,,,ENRICHED
Shenzhou 15,2022-11-29,2022.0,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130.0,Success,Active,950.0,Liquid,0.5,First CSS crew handover; historic meeting of two crews,,,ENRICHED
